username,orario,text
MichaelBennet,2021-04-30 00:52:35+00:00,I'm the ONLY Senator running for re-election who isn't taking a single cent from federal lobbyists AND corporate PACs. I believe fighting to end the influence of money in politics means leading by example.
MichaelBennet,2023-09-21 23:34:57+00:00,"Small businesses in Colorado shouldn’t face more regulations than the most powerful companies in the world. Big Tech no longer gets to go unchecked while hurting our kids and unraveling the social fabric of our country.

It’s time for the United States to set the standard."
MichaelBennet,2023-09-19 15:31:19+00:00,"Today is #NationalVoterRegistrationDay, Colorado! 

Check your voter registration status or register to vote at https://t.co/N8sQAW5zqe. https://t.co/bkYsIQPv7k"
MichaelBennet,2023-09-17 19:29:09+00:00,Happy Birthday to Susan who is the glue that holds our family together. https://t.co/7BrzzC2J6n
MichaelBennet,2023-09-16 00:38:42+00:00,"L'Shana Tovah! 

Happy #RoshHashanah to everyone celebrating across Colorado and the country. I'm wishing you and your loved ones a happy and healthy new year."
MichaelBennet,2023-09-14 20:02:18+00:00,"I couldn't agree more, @CoryBooker. 

Congress let the expanded #ChildTaxCredit expire after one year. And our country's kids are much worse off because of it.

It's time to restore the expanded #ChildTaxCredit to help end child poverty once and for all."
CoryBooker,2023-09-14 17:51:40+00:00,"Two years ago, after intense advocacy from me, Senators @MichaelBennet , @SherrodBrown , and @ReverendWarnock , and a group of allies in the House, Democrats in Congress and @POTUS passed into law under the American Rescue Plan the biggest middle class tax cut in a generation: a one-year expansion of the Child Tax Credit, putting up to $300 per child per month straight into the pockets of more than 90 percent of American families. 

The impact of this tax cut was huge. Families facing rising prices used the tax cut to help pay for gas, groceries, childcare, and medicine. 

And Census Bureau data found that, thanks to this tax cut, the child poverty rate in America was cut in half, to a record low. 

But because Congress was one vote short of renewing the expanded credit, it expired. Now, new Census Bureau data has confirmed the expected and shameful result: child poverty more than doubled in the past year, up almost 140 percent. 

This is a moral obscenity. 

The richest nation in the world shouldn’t tolerate our children living in poverty. And our experience with the Child Tax Credit proves that we don’t have to. Poverty is a policy choice. We can end child poverty if we have the will to do so. 

It’s past time Congress finds the will to renew the expanded Child Tax Credit."
MichaelBennet,2023-09-04 16:35:00+00:00,"Happy Labor Day!

Today is a day to pay tribute to work, workers, and the Coloradans in the fight for fair wages and safe workplaces. I stand with our workers, and I’ll continue fighting to build an economy that works for everyone, not just the few at the top. https://t.co/QgIVsGRqSA"
MichaelBennet,2023-08-26 03:16:19+00:00,"It was great to be back with the @PitCoDemParty this week.

Thanks to the work you all did in 2022, we kept Colorado blue, and now, Democrats are delivering. But if we're going to keep building on this progress, it's going to take all of us working together. https://t.co/IaHQ7Vz8ZF"
MichaelBennet,2023-08-10 20:45:42+00:00,"Our veterans have served and sacrificed for our country. But when they come home, they struggle to get critical medical care.

I helped pass the PACT Act to expand access to health care for our veterans, and I'll keep working to ensure they can get the care they've earned. https://t.co/Lh9KETFUIW"
MichaelBennet,2023-08-07 22:59:35+00:00,"One year ago, the Senate passed the #InflationReductionAct.

From funding our clean-energy economy to helping combat drought to lowering energy costs, there's never been a bill that invests more in fighting climate change, all while creating good-paying jobs."
MichaelBennet,2023-08-02 20:07:53+00:00,"I’ve spent the last two and a half years fighting to ensure that Space Command’s permanent location would be decided based on national security priorities, not politics.

And this week, that work came to fruition – Space Command will remain, as it should, in Colorado."
MichaelBennet,2023-07-25 23:38:59+00:00,"Last week, I introduced the Freedom to Vote Act to protect elections from dark money, partisan gerrymandering, and voter suppression.

This legislation will protect our democracy for generations, and we should pass it immediately."
MichaelBennet,2023-07-14 20:36:50+00:00,"The expanded Child Tax Credit was an undeniable success. But Congress let it expire, forcing millions of kids back into poverty.

I'm working to restore it so we can end childhood poverty and support working families in Colorado.

📷: The New York Times https://t.co/cwHAJ16xA9"
